Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0959,Slow system performance,Run a system diagnostic tool.,110 minutes,Network,Pending,26,neutral
CONV-0960,Unable to access email,Verify your email settings.,15 minutes,Network,Resolved after follow-up,21,neutral
CONV-0961,Slow system performance,Restart your router.,55 minutes,Software,Resolved after follow-up,3,neutral
CONV-0962,Cannot connect to Wi-Fi,Run a system diagnostic tool.,15 minutes,Performance,Escalated,32,neutral
CONV-0963,Cannot connect to Wi-Fi,Follow the software installation guide.,53 minutes,Account,Pending,2,neutral
CONV-0964,Slow system performance,Follow the software installation guide.,92 minutes,Hardware,Resolved,57,neutral
CONV-0965,Software installation failure,Follow the software installation guide.,106 minutes,Account,Pending,19,negative
CONV-0966,Blue screen error,Reset your password using the link provided.,18 minutes,Software,Resolved after follow-up,4,negative
CONV-0967,Printer not responding,Follow the software installation guide.,62 minutes,Network,Resolved,14,neutral
CONV-0968,Software installation failure,Follow the software installation guide.,69 minutes,Performance,Resolved,17,negative
CONV-0969,Unable to access email,Reset your password using the link provided.,93 minutes,Hardware,Pending,43,neutral
CONV-0970,Forgot password,Restart your router.,50 minutes,Software,Resolved,13,neutral
CONV-0971,Forgot password,Restart your router.,18 minutes,Account,Escalated,6,neutral
CONV-0972,Unable to access email,Reset your password using the link provided.,34 minutes,Account,Resolved,4,neutral
CONV-0973,Software installation failure,Verify your email settings.,84 minutes,Network,Escalated,13,negative
CONV-0974,Unable to access email,Restart your router.,103 minutes,Performance,Pending,18,neutral
CONV-0975,Unable to access email,Restart your router.,12 minutes,Account,Pending,9,neutral
CONV-0976,Software installation failure,Reset your password using the link provided.,100 minutes,Hardware,Pending,21,negative
CONV-0977,Software installation failure,Follow the software installation guide.,113 minutes,Software,Resolved,13,negative
CONV-0978,Cannot connect to Wi-Fi,Reset your password using the link provided.,26 minutes,Performance,Pending,37,neutral
CONV-0979,Cannot connect to Wi-Fi,Restart your router.,80 minutes,Account,Resolved after follow-up,6,neutral
CONV-0980,Software installation failure,Reinstall the printer drivers.,33 minutes,Software,Resolved,9,negative
CONV-0981,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,22 minutes,Network,Escalated,24,neutral
CONV-0982,Blue screen error,Follow the software installation guide.,93 minutes,Software,Escalated,6,negative
CONV-0983,Unable to access email,Verify your email settings.,115 minutes,Account,Resolved,3,neutral
CONV-0984,Cannot connect to Wi-Fi,Follow the software installation guide.,88 minutes,Hardware,Resolved after follow-up,34,neutral
CONV-0985,Forgot password,Verify your email settings.,77 minutes,Hardware,Resolved,24,neutral
CONV-0986,Unable to access email,Reinstall the printer drivers.,23 minutes,Network,Resolved,9,neutral
CONV-0987,Printer not responding,Reset your password using the link provided.,56 minutes,Software,Escalated,3,neutral
CONV-0988,Slow system performance,Clear cache and remove unnecessary programs.,82 minutes,Account,Pending,15,neutral
CONV-0989,Software installation failure,Verify your email settings.,71 minutes,Network,Resolved after follow-up,17,negative
CONV-0990,Slow system performance,Clear cache and remove unnecessary programs.,118 minutes,Network,Resolved,28,neutral
CONV-0991,Blue screen error,Follow the software installation guide.,72 minutes,Network,Pending,19,negative
CONV-0992,Slow system performance,Reset your password using the link provided.,14 minutes,Software,Resolved after follow-up,13,neutral
CONV-0993,Printer not responding,Clear cache and remove unnecessary programs.,16 minutes,Hardware,Resolved,31,neutral
CONV-0994,Unable to access email,Run a system diagnostic tool.,109 minutes,Hardware,Resolved after follow-up,31,neutral
CONV-0995,Software installation failure,Follow the software installation guide.,57 minutes,Hardware,Pending,44,negative
CONV-0996,Cannot connect to Wi-Fi,Verify your email settings.,30 minutes,Performance,Escalated,25,neutral
CONV-0997,Forgot password,Reset your password using the link provided.,79 minutes,Hardware,Escalated,46,neutral
CONV-0998,Unable to access email,Clear cache and remove unnecessary programs.,115 minutes,Software,Resolved after follow-up,4,neutral
CONV-0999,Blue screen error,Verify your email settings.,68 minutes,Software,Pending,7,negative
CONV-1000,Forgot password,Follow the software installation guide.,28 minutes,Network,Pending,14,neutral
CONV-1001,Printer not responding,Reinstall the printer drivers.,15 minutes,Software,Resolved,13,neutral
CONV-1002,Printer not responding,Reinstall the printer drivers.,16 minutes,Hardware,Pending,35,neutral
CONV-1003,Unable to access email,Reinstall the printer drivers.,30 minutes,Account,Resolved,5,neutral
CONV-1004,Blue screen error,Restart your router.,98 minutes,Hardware,Escalated,52,negative
CONV-1005,Forgot password,Reinstall the printer drivers.,41 minutes,Account,Pending,6,neutral
CONV-1006,Software installation failure,Follow the software installation guide.,119 minutes,Hardware,Escalated,42,negative
CONV-1007,Unable to access email,Clear cache and remove unnecessary programs.,71 minutes,Hardware,Resolved,13,neutral
CONV-1008,Software installation failure,Clear cache and remove unnecessary programs.,45 minutes,Software,Pending,14,negative
CONV-1009,Software installation failure,Verify your email settings.,108 minutes,Network,Pending,17,negative
CONV-1010,Slow system performance,Reinstall the printer drivers.,116 minutes,Software,Escalated,13,neutral
CONV-1011,Blue screen error,Clear cache and remove unnecessary programs.,28 minutes,Network,Pending,11,negative
CONV-1012,Blue screen error,Reinstall the printer drivers.,61 minutes,Network,Pending,7,negative
CONV-1013,Software installation failure,Verify your email settings.,40 minutes,Software,Pending,14,negative
CONV-1014,Software installation failure,Reinstall the printer drivers.,18 minutes,Performance,Escalated,34,negative
CONV-1015,Forgot password,Follow the software installation guide.,85 minutes,Account,Resolved,14,neutral
CONV-1016,Unable to access email,Reset your password using the link provided.,77 minutes,Hardware,Escalated,52,neutral
CONV-1017,Slow system performance,Follow the software installation guide.,88 minutes,Software,Resolved,9,neutral
CONV-1018,Forgot password,Run a system diagnostic tool.,65 minutes,Hardware,Escalated,54,neutral
CONV-1019,Unable to access email,Reinstall the printer drivers.,68 minutes,Network,Resolved after follow-up,25,neutral
CONV-1020,Unable to access email,Run a system diagnostic tool.,92 minutes,Network,Resolved after follow-up,16,neutral
CONV-1021,Software installation failure,Clear cache and remove unnecessary programs.,77 minutes,Hardware,Resolved after follow-up,43,negative
CONV-1022,Slow system performance,Restart your router.,86 minutes,Network,Resolved,14,neutral
CONV-1023,Printer not responding,Clear cache and remove unnecessary programs.,71 minutes,Account,Resolved after follow-up,7,neutral
CONV-1024,Slow system performance,Follow the software installation guide.,45 minutes,Hardware,Escalated,17,neutral
CONV-1025,Cannot connect to Wi-Fi,Follow the software installation guide.,22 minutes,Account,Pending,7,neutral
CONV-1026,Slow system performance,Run a system diagnostic tool.,51 minutes,Performance,Resolved after follow-up,31,neutral
CONV-1027,Slow system performance,Run a system diagnostic tool.,64 minutes,Software,Pending,2,neutral
CONV-1028,Printer not responding,Reinstall the printer drivers.,40 minutes,Software,Resolved,5,neutral
CONV-1029,Software installation failure,Reinstall the printer drivers.,95 minutes,Account,Resolved,17,negative
CONV-1030,Forgot password,Reinstall the printer drivers.,53 minutes,Network,Resolved,9,neutral
CONV-1031,Unable to access email,Reset your password using the link provided.,108 minutes,Network,Resolved,21,neutral
CONV-1032,Software installation failure,Reinstall the printer drivers.,94 minutes,Account,Pending,8,negative
CONV-1033,Cannot connect to Wi-Fi,Reinstall the printer drivers.,112 minutes,Account,Resolved after follow-up,8,neutral
CONV-1034,Printer not responding,Reinstall the printer drivers.,68 minutes,Network,Pending,26,neutral
CONV-1035,Slow system performance,Verify your email settings.,31 minutes,Network,Pending,7,neutral
CONV-1036,Slow system performance,Run a system diagnostic tool.,8 minutes,Performance,Resolved after follow-up,21,neutral
CONV-1037,Slow system performance,Follow the software installation guide.,72 minutes,Software,Resolved,2,neutral
CONV-1038,Slow system performance,Reinstall the printer drivers.,8 minutes,Network,Pending,17,neutral
CONV-1039,Cannot connect to Wi-Fi,Run a system diagnostic tool.,118 minutes,Account,Resolved,19,neutral
CONV-1040,Software installation failure,Restart your router.,15 minutes,Performance,Resolved,40,negative
CONV-1041,Software installation failure,Follow the software installation guide.,62 minutes,Account,Resolved after follow-up,8,negative
CONV-1042,Unable to access email,Verify your email settings.,50 minutes,Performance,Resolved after follow-up,19,neutral
CONV-1043,Forgot password,Reset your password using the link provided.,43 minutes,Hardware,Resolved,45,neutral
CONV-1044,Blue screen error,Restart your router.,16 minutes,Account,Escalated,19,negative
CONV-1045,Software installation failure,Reset your password using the link provided.,12 minutes,Account,Resolved after follow-up,17,negative
CONV-1046,Cannot connect to Wi-Fi,Reset your password using the link provided.,11 minutes,Software,Resolved after follow-up,9,neutral
CONV-1047,Software installation failure,Verify your email settings.,49 minutes,Network,Resolved,26,negative
CONV-1048,Unable to access email,Restart your router.,110 minutes,Network,Resolved,14,neutral
CONV-1049,Cannot connect to Wi-Fi,Verify your email settings.,58 minutes,Account,Resolved,3,neutral
CONV-1050,Forgot password,Reset your password using the link provided.,92 minutes,Network,Pending,17,neutral
CONV-1051,Software installation failure,Restart your router.,60 minutes,Hardware,Resolved,28,negative
CONV-1052,Software installation failure,Reset your password using the link provided.,81 minutes,Network,Escalated,8,negative
CONV-1053,Software installation failure,Follow the software installation guide.,99 minutes,Account,Resolved after follow-up,7,negative
CONV-1054,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,8 minutes,Account,Resolved,13,neutral
CONV-1055,Printer not responding,Reinstall the printer drivers.,115 minutes,Hardware,Escalated,21,neutral
CONV-1056,Printer not responding,Clear cache and remove unnecessary programs.,36 minutes,Performance,Resolved after follow-up,22,neutral
CONV-1057,Printer not responding,Follow the software installation guide.,16 minutes,Network,Resolved after follow-up,23,neutral
CONV-1058,Unable to access email,Reset your password using the link provided.,32 minutes,Hardware,Pending,55,neutral
CONV-1059,Blue screen error,Verify your email settings.,100 minutes,Network,Pending,18,negative
CONV-1060,Cannot connect to Wi-Fi,Reset your password using the link provided.,62 minutes,Account,Resolved after follow-up,16,neutral
CONV-1061,Unable to access email,Restart your router.,98 minutes,Network,Pending,6,neutral
CONV-1062,Software installation failure,Clear cache and remove unnecessary programs.,109 minutes,Software,Escalated,4,negative
CONV-1063,Forgot password,Verify your email settings.,11 minutes,Network,Escalated,22,neutral
CONV-1064,Printer not responding,Reset your password using the link provided.,85 minutes,Hardware,Resolved after follow-up,44,neutral
CONV-1065,Slow system performance,Reset your password using the link provided.,119 minutes,Account,Resolved,19,neutral
CONV-1066,Software installation failure,Clear cache and remove unnecessary programs.,49 minutes,Software,Pending,8,negative
CONV-1067,Blue screen error,Clear cache and remove unnecessary programs.,110 minutes,Hardware,Resolved,20,negative
CONV-1068,Forgot password,Run a system diagnostic tool.,13 minutes,Hardware,Escalated,57,neutral
CONV-1069,Slow system performance,Follow the software installation guide.,73 minutes,Software,Resolved,5,neutral
CONV-1070,Software installation failure,Clear cache and remove unnecessary programs.,53 minutes,Hardware,Escalated,49,negative
CONV-1071,Software installation failure,Follow the software installation guide.,109 minutes,Account,Resolved,4,negative
CONV-1072,Printer not responding,Clear cache and remove unnecessary programs.,86 minutes,Hardware,Escalated,23,neutral
CONV-1073,Software installation failure,Follow the software installation guide.,31 minutes,Hardware,Resolved after follow-up,25,negative
CONV-1074,Cannot connect to Wi-Fi,Follow the software installation guide.,47 minutes,Software,Pending,9,neutral
CONV-1075,Printer not responding,Reset your password using the link provided.,68 minutes,Account,Escalated,4,neutral
CONV-1076,Printer not responding,Reinstall the printer drivers.,91 minutes,Hardware,Pending,59,neutral
CONV-1077,Cannot connect to Wi-Fi,Run a system diagnostic tool.,35 minutes,Performance,Escalated,21,neutral
CONV-1078,Unable to access email,Run a system diagnostic tool.,114 minutes,Account,Escalated,5,neutral
CONV-1079,Software installation failure,Follow the software installation guide.,12 minutes,Hardware,Pending,55,negative
CONV-1080,Slow system performance,Run a system diagnostic tool.,80 minutes,Network,Pending,21,neutral
CONV-1081,Software installation failure,Run a system diagnostic tool.,9 minutes,Software,Resolved after follow-up,5,negative
CONV-1082,Cannot connect to Wi-Fi,Reinstall the printer drivers.,16 minutes,Performance,Escalated,40,neutral
CONV-1083,Unable to access email,Reset your password using the link provided.,79 minutes,Performance,Escalated,41,neutral
CONV-1084,Unable to access email,Reinstall the printer drivers.,41 minutes,Account,Pending,4,neutral
CONV-1085,Unable to access email,Follow the software installation guide.,78 minutes,Software,Pending,10,neutral
CONV-1086,Blue screen error,Verify your email settings.,99 minutes,Network,Resolved after follow-up,26,negative
CONV-1087,Printer not responding,Restart your router.,53 minutes,Hardware,Resolved,28,neutral
CONV-1088,Cannot connect to Wi-Fi,Reinstall the printer drivers.,14 minutes,Hardware,Escalated,58,neutral
CONV-1089,Unable to access email,Verify your email settings.,47 minutes,Performance,Resolved,38,neutral
CONV-1090,Cannot connect to Wi-Fi,Run a system diagnostic tool.,18 minutes,Software,Resolved after follow-up,12,neutral
CONV-1091,Forgot password,Reinstall the printer drivers.,18 minutes,Network,Resolved after follow-up,15,neutral
CONV-1092,Blue screen error,Follow the software installation guide.,90 minutes,Software,Escalated,10,negative
CONV-1093,Unable to access email,Verify your email settings.,100 minutes,Hardware,Escalated,34,neutral
CONV-1094,Unable to access email,Restart your router.,111 minutes,Account,Pending,9,neutral
CONV-1095,Cannot connect to Wi-Fi,Follow the software installation guide.,33 minutes,Software,Resolved,9,neutral
CONV-1096,Printer not responding,Run a system diagnostic tool.,25 minutes,Network,Resolved,5,neutral
CONV-1097,Software installation failure,Restart your router.,64 minutes,Network,Pending,22,negative
CONV-1098,Cannot connect to Wi-Fi,Verify your email settings.,38 minutes,Software,Resolved,5,neutral
CONV-1099,Forgot password,Run a system diagnostic tool.,23 minutes,Account,Resolved,6,neutral
CONV-1100,Forgot password,Verify your email settings.,22 minutes,Account,Escalated,12,neutral
CONV-1101,Unable to access email,Verify your email settings.,16 minutes,Network,Resolved after follow-up,25,neutral
CONV-1102,Slow system performance,Verify your email settings.,95 minutes,Account,Escalated,16,neutral
CONV-1103,Forgot password,Reset your password using the link provided.,43 minutes,Account,Escalated,2,neutral
CONV-1104,Unable to access email,Follow the software installation guide.,103 minutes,Network,Resolved,23,neutral
CONV-1105,Cannot connect to Wi-Fi,Restart your router.,49 minutes,Software,Pending,2,neutral
CONV-1106,Printer not responding,Reset your password using the link provided.,117 minutes,Software,Resolved after follow-up,3,neutral
CONV-1107,Forgot password,Clear cache and remove unnecessary programs.,19 minutes,Hardware,Resolved after follow-up,50,neutral
CONV-1108,Software installation failure,Run a system diagnostic tool.,37 minutes,Account,Escalated,11,negative
CONV-1109,Forgot password,Reset your password using the link provided.,89 minutes,Network,Resolved after follow-up,13,neutral
CONV-1110,Software installation failure,Reinstall the printer drivers.,91 minutes,Software,Resolved after follow-up,13,negative
CONV-1111,Blue screen error,Reinstall the printer drivers.,18 minutes,Software,Escalated,3,negative
CONV-1112,Forgot password,Verify your email settings.,117 minutes,Network,Pending,6,neutral
CONV-1113,Software installation failure,Restart your router.,92 minutes,Performance,Escalated,37,negative
CONV-1114,Software installation failure,Reset your password using the link provided.,19 minutes,Account,Pending,3,negative
CONV-1115,Cannot connect to Wi-Fi,Reset your password using the link provided.,23 minutes,Hardware,Pending,53,neutral
CONV-1116,Unable to access email,Run a system diagnostic tool.,60 minutes,Performance,Pending,15,neutral
CONV-1117,Blue screen error,Verify your email settings.,37 minutes,Software,Resolved,8,negative
CONV-1118,Forgot password,Follow the software installation guide.,56 minutes,Network,Resolved,19,neutral
CONV-1119,Forgot password,Reset your password using the link provided.,11 minutes,Performance,Resolved after follow-up,33,neutral
CONV-1120,Printer not responding,Clear cache and remove unnecessary programs.,93 minutes,Hardware,Resolved,56,neutral
CONV-1121,Forgot password,Clear cache and remove unnecessary programs.,25 minutes,Network,Pending,6,neutral
CONV-1122,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,102 minutes,Hardware,Resolved,16,neutral
CONV-1123,Printer not responding,Run a system diagnostic tool.,57 minutes,Software,Escalated,2,neutral
CONV-1124,Slow system performance,Verify your email settings.,104 minutes,Account,Resolved,2,neutral
CONV-1125,Software installation failure,Restart your router.,106 minutes,Performance,Pending,40,negative
CONV-1126,Unable to access email,Follow the software installation guide.,109 minutes,Network,Resolved after follow-up,16,neutral
CONV-1127,Blue screen error,Reset your password using the link provided.,104 minutes,Hardware,Escalated,48,negative
CONV-1128,Software installation failure,Restart your router.,41 minutes,Hardware,Resolved,22,negative
CONV-1129,Software installation failure,Reset your password using the link provided.,84 minutes,Performance,Pending,12,negative
CONV-1130,Unable to access email,Follow the software installation guide.,13 minutes,Hardware,Resolved,45,neutral
CONV-1131,Slow system performance,Follow the software installation guide.,91 minutes,Performance,Pending,23,neutral
CONV-1132,Software installation failure,Restart your router.,104 minutes,Performance,Resolved,17,negative
CONV-1133,Printer not responding,Verify your email settings.,42 minutes,Account,Pending,14,neutral
CONV-1134,Cannot connect to Wi-Fi,Verify your email settings.,17 minutes,Hardware,Resolved after follow-up,36,neutral
CONV-1135,Cannot connect to Wi-Fi,Run a system diagnostic tool.,33 minutes,Hardware,Resolved after follow-up,31,neutral
CONV-1136,Software installation failure,Reset your password using the link provided.,15 minutes,Network,Pending,20,negative
CONV-1137,Unable to access email,Clear cache and remove unnecessary programs.,31 minutes,Hardware,Resolved after follow-up,25,neutral
CONV-1138,Slow system performance,Restart your router.,6 minutes,Software,Escalated,14,neutral
CONV-1139,Blue screen error,Clear cache and remove unnecessary programs.,96 minutes,Performance,Resolved,19,negative
CONV-1140,Software installation failure,Reset your password using the link provided.,46 minutes,Account,Resolved,17,negative
CONV-1141,Forgot password,Follow the software installation guide.,111 minutes,Hardware,Resolved,41,neutral
CONV-1142,Cannot connect to Wi-Fi,Follow the software installation guide.,97 minutes,Performance,Pending,29,neutral
CONV-1143,Software installation failure,Restart your router.,40 minutes,Hardware,Resolved,54,negative
CONV-1144,Unable to access email,Verify your email settings.,19 minutes,Account,Resolved,15,neutral
CONV-1145,Cannot connect to Wi-Fi,Verify your email settings.,109 minutes,Software,Pending,14,neutral
CONV-1146,Software installation failure,Restart your router.,107 minutes,Performance,Resolved,23,negative
CONV-1147,Software installation failure,Follow the software installation guide.,77 minutes,Software,Escalated,11,negative
CONV-1148,Printer not responding,Restart your router.,7 minutes,Account,Resolved after follow-up,17,neutral
CONV-1149,Unable to access email,Restart your router.,7 minutes,Software,Resolved after follow-up,11,neutral
CONV-1150,Unable to access email,Reset your password using the link provided.,47 minutes,Network,Resolved,29,neutral
CONV-1151,Cannot connect to Wi-Fi,Reinstall the printer drivers.,109 minutes,Network,Resolved,20,neutral
CONV-1152,Blue screen error,Follow the software installation guide.,118 minutes,Hardware,Resolved,15,negative
CONV-1153,Software installation failure,Reinstall the printer drivers.,86 minutes,Hardware,Resolved after follow-up,53,negative
CONV-1154,Unable to access email,Run a system diagnostic tool.,120 minutes,Account,Resolved after follow-up,6,neutral
CONV-1155,Slow system performance,Run a system diagnostic tool.,91 minutes,Account,Pending,17,neutral
CONV-1156,Cannot connect to Wi-Fi,Restart your router.,5 minutes,Account,Pending,3,neutral
CONV-1157,Printer not responding,Run a system diagnostic tool.,31 minutes,Performance,Resolved after follow-up,22,neutral
CONV-1158,Cannot connect to Wi-Fi,Reinstall the printer drivers.,14 minutes,Performance,Resolved after follow-up,43,neutral
CONV-1159,Software installation failure,Run a system diagnostic tool.,63 minutes,Performance,Pending,43,negative
CONV-1160,Blue screen error,Restart your router.,81 minutes,Network,Resolved,15,negative
CONV-1161,Software installation failure,Reset your password using the link provided.,5 minutes,Hardware,Resolved after follow-up,15,negative
CONV-1162,Forgot password,Run a system diagnostic tool.,100 minutes,Hardware,Pending,33,neutral
CONV-1163,Forgot password,Verify your email settings.,58 minutes,Software,Pending,6,neutral
CONV-1164,Slow system performance,Clear cache and remove unnecessary programs.,113 minutes,Hardware,Pending,39,neutral
CONV-1165,Forgot password,Run a system diagnostic tool.,90 minutes,Network,Resolved after follow-up,18,neutral
CONV-1166,Cannot connect to Wi-Fi,Run a system diagnostic tool.,52 minutes,Hardware,Escalated,17,neutral
CONV-1167,Blue screen error,Follow the software installation guide.,101 minutes,Hardware,Resolved,36,negative
CONV-1168,Slow system performance,Reset your password using the link provided.,29 minutes,Network,Pending,8,neutral
CONV-1169,Blue screen error,Verify your email settings.,9 minutes,Hardware,Pending,51,negative
CONV-1170,Unable to access email,Reset your password using the link provided.,103 minutes,Account,Pending,3,neutral
CONV-1171,Cannot connect to Wi-Fi,Restart your router.,115 minutes,Account,Resolved,6,neutral
CONV-1172,Printer not responding,Follow the software installation guide.,22 minutes,Hardware,Pending,20,neutral
CONV-1173,Printer not responding,Reset your password using the link provided.,42 minutes,Account,Pending,2,neutral
CONV-1174,Blue screen error,Verify your email settings.,38 minutes,Performance,Resolved after follow-up,44,negative
CONV-1175,Unable to access email,Clear cache and remove unnecessary programs.,26 minutes,Account,Escalated,17,neutral
CONV-1176,Slow system performance,Reset your password using the link provided.,69 minutes,Network,Resolved,11,neutral
CONV-1177,Slow system performance,Restart your router.,32 minutes,Performance,Resolved after follow-up,42,neutral
CONV-1178,Cannot connect to Wi-Fi,Run a system diagnostic tool.,65 minutes,Network,Pending,20,neutral
CONV-1179,Slow system performance,Reset your password using the link provided.,87 minutes,Hardware,Resolved,12,neutral
CONV-1180,Unable to access email,Verify your email settings.,40 minutes,Software,Resolved after follow-up,10,neutral
CONV-1181,Forgot password,Reset your password using the link provided.,38 minutes,Network,Resolved after follow-up,10,neutral
CONV-1182,Forgot password,Run a system diagnostic tool.,118 minutes,Network,Pending,27,neutral
CONV-1183,Cannot connect to Wi-Fi,Reinstall the printer drivers.,48 minutes,Account,Pending,12,neutral
CONV-1184,Unable to access email,Restart your router.,13 minutes,Performance,Resolved,35,neutral
CONV-1185,Unable to access email,Reinstall the printer drivers.,90 minutes,Account,Escalated,11,neutral
CONV-1186,Cannot connect to Wi-Fi,Reinstall the printer drivers.,38 minutes,Software,Resolved,7,neutral
CONV-1187,Printer not responding,Restart your router.,71 minutes,Performance,Resolved after follow-up,16,neutral
CONV-1188,Blue screen error,Reinstall the printer drivers.,107 minutes,Account,Pending,12,negative
CONV-1189,Printer not responding,Reinstall the printer drivers.,53 minutes,Network,Resolved,6,neutral
CONV-1190,Software installation failure,Run a system diagnostic tool.,91 minutes,Network,Escalated,15,negative
CONV-1191,Cannot connect to Wi-Fi,Restart your router.,97 minutes,Performance,Escalated,17,neutral
CONV-1192,Blue screen error,Clear cache and remove unnecessary programs.,88 minutes,Performance,Escalated,18,negative
CONV-1193,Forgot password,Verify your email settings.,95 minutes,Hardware,Escalated,46,neutral
CONV-1194,Blue screen error,Reinstall the printer drivers.,105 minutes,Software,Resolved,7,negative
CONV-1195,Unable to access email,Verify your email settings.,20 minutes,Account,Resolved,4,neutral
CONV-1196,Unable to access email,Reset your password using the link provided.,18 minutes,Network,Resolved after follow-up,16,neutral
CONV-1197,Unable to access email,Run a system diagnostic tool.,8 minutes,Software,Resolved after follow-up,7,neutral
CONV-1198,Software installation failure,Run a system diagnostic tool.,100 minutes,Performance,Pending,24,negative
CONV-1199,Software installation failure,Run a system diagnostic tool.,97 minutes,Account,Resolved,13,negative
CONV-1200,Cannot connect to Wi-Fi,Run a system diagnostic tool.,29 minutes,Performance,Resolved,42,neutral
CONV-1201,Forgot password,Follow the software installation guide.,110 minutes,Account,Escalated,15,neutral
CONV-1202,Software installation failure,Reset your password using the link provided.,69 minutes,Hardware,Resolved after follow-up,56,negative
CONV-1203,Unable to access email,Restart your router.,44 minutes,Hardware,Escalated,47,neutral
CONV-1204,Forgot password,Verify your email settings.,102 minutes,Software,Escalated,8,neutral
CONV-1205,Printer not responding,Reset your password using the link provided.,54 minutes,Hardware,Escalated,31,neutral
CONV-1206,Blue screen error,Reset your password using the link provided.,46 minutes,Network,Escalated,5,negative
CONV-1207,Forgot password,Reset your password using the link provided.,76 minutes,Network,Resolved,24,neutral
CONV-1208,Slow system performance,Run a system diagnostic tool.,31 minutes,Account,Resolved,2,neutral
CONV-1209,Slow system performance,Follow the software installation guide.,92 minutes,Hardware,Resolved after follow-up,58,neutral
CONV-1210,Forgot password,Verify your email settings.,120 minutes,Software,Pending,2,neutral
CONV-1211,Unable to access email,Restart your router.,74 minutes,Hardware,Resolved,24,neutral
CONV-1212,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,60 minutes,Account,Resolved,12,neutral
CONV-1213,Unable to access email,Reinstall the printer drivers.,37 minutes,Hardware,Resolved after follow-up,39,neutral
CONV-1214,Forgot password,Run a system diagnostic tool.,83 minutes,Network,Resolved after follow-up,20,neutral
CONV-1215,Cannot connect to Wi-Fi,Run a system diagnostic tool.,33 minutes,Performance,Resolved after follow-up,14,neutral
CONV-1216,Printer not responding,Clear cache and remove unnecessary programs.,48 minutes,Network,Resolved,16,neutral
CONV-1217,Blue screen error,Restart your router.,83 minutes,Software,Escalated,7,negative
CONV-1218,Software installation failure,Follow the software installation guide.,34 minutes,Network,Resolved after follow-up,26,negative
CONV-1219,Blue screen error,Verify your email settings.,109 minutes,Software,Escalated,2,negative
CONV-1220,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,70 minutes,Performance,Resolved,24,neutral
CONV-1221,Cannot connect to Wi-Fi,Restart your router.,87 minutes,Performance,Escalated,40,neutral
CONV-1222,Software installation failure,Run a system diagnostic tool.,96 minutes,Account,Resolved,14,negative
CONV-1223,Printer not responding,Verify your email settings.,46 minutes,Software,Pending,6,neutral
CONV-1224,Forgot password,Reinstall the printer drivers.,103 minutes,Software,Pending,3,neutral
CONV-1225,Printer not responding,Clear cache and remove unnecessary programs.,104 minutes,Hardware,Resolved,58,neutral
CONV-1226,Slow system performance,Restart your router.,85 minutes,Network,Escalated,27,neutral
CONV-1227,Cannot connect to Wi-Fi,Verify your email settings.,119 minutes,Hardware,Pending,31,neutral
CONV-1228,Cannot connect to Wi-Fi,Reinstall the printer drivers.,18 minutes,Network,Pending,22,neutral
CONV-1229,Cannot connect to Wi-Fi,Restart your router.,11 minutes,Network,Escalated,9,neutral
CONV-1230,Forgot password,Reset your password using the link provided.,68 minutes,Performance,Resolved after follow-up,40,neutral
CONV-1231,Slow system performance,Clear cache and remove unnecessary programs.,79 minutes,Account,Escalated,2,neutral
CONV-1232,Unable to access email,Clear cache and remove unnecessary programs.,100 minutes,Software,Pending,9,neutral
CONV-1233,Slow system performance,Clear cache and remove unnecessary programs.,8 minutes,Network,Resolved after follow-up,22,neutral
CONV-1234,Printer not responding,Run a system diagnostic tool.,116 minutes,Account,Pending,15,neutral
CONV-1235,Slow system performance,Reinstall the printer drivers.,74 minutes,Software,Resolved after follow-up,11,neutral
CONV-1236,Slow system performance,Follow the software installation guide.,24 minutes,Software,Escalated,11,neutral
CONV-1237,Slow system performance,Run a system diagnostic tool.,84 minutes,Software,Resolved,5,neutral
CONV-1238,Forgot password,Follow the software installation guide.,55 minutes,Account,Resolved,13,neutral
CONV-1239,Slow system performance,Restart your router.,22 minutes,Hardware,Resolved,18,neutral
CONV-1240,Cannot connect to Wi-Fi,Run a system diagnostic tool.,30 minutes,Account,Resolved,11,neutral
CONV-1241,Printer not responding,Verify your email settings.,116 minutes,Network,Resolved,29,neutral
CONV-1242,Slow system performance,Reinstall the printer drivers.,115 minutes,Performance,Pending,41,neutral
CONV-1243,Software installation failure,Follow the software installation guide.,49 minutes,Account,Resolved,7,negative
CONV-1244,Blue screen error,Verify your email settings.,60 minutes,Hardware,Resolved after follow-up,42,negative
CONV-1245,Printer not responding,Reinstall the printer drivers.,45 minutes,Account,Resolved after follow-up,19,neutral
CONV-1246,Cannot connect to Wi-Fi,Verify your email settings.,20 minutes,Performance,Escalated,21,neutral
CONV-1247,Slow system performance,Reinstall the printer drivers.,39 minutes,Network,Resolved after follow-up,26,neutral
CONV-1248,Software installation failure,Reinstall the printer drivers.,79 minutes,Software,Resolved,4,negative
